Date,State,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
14-06-2021,,Romania,45902,2206,25794,17902,1104,19,151
15-06-2021,,Russia,816680,13334,602249,201097,5607,85,3077
16-06-2021,,Rwanda,1879,5,975,899,58,0,57
17-06-2021,,Saint Kitts and Nevis,17,0,15,2,0,0,0
18-06-2021,,Saint Lucia,24,0,22,2,0,0,0
19-06-2021,,Saint Vincent and the Grenadines,52,0,39,13,0,0,0
20-06-2021,,San Marino,699,42,657,0,0,0,0
21-06-2021,,Sao Tome and Principe,865,14,734,117,2,0,38
22-06-2021,,Saudi Arabia,268934,2760,222936,43238,1993,27,2613
23-06-2021,,Senegal,9764,194,6477,3093,83,3,68
24-06-2021,,Serbia,24141,543,0,23598,411,9,0
25-06-2021,,Seychelles,114,0,39,75,0,0,0
26-06-2021,,Sierra Leone,1783,66,1317,400,0,0,4
27-06-2021,,Singapore,50838,27,45692,5119,469,0,171
28-06-2021,,Slovakia,2181,28,1616,537,2,0,39
29-06-2021,,Slovenia,2087,116,1733,238,5,0,55
30-06-2021,,Somalia,3196,93,1543,1560,18,0,22
01-07-2021,,South Africa,452529,7067,274925,170537,7096,298,9848
02-07-2021,,South Korea,14203,300,13007,896,28,1,102
03-07-2021,,South Sudan,2305,46,1175,1084,43,1,0
04-07-2021,,Spain,272421,28432,150376,93613,0,0,0
05-07-2021,,Sri Lanka,2805,11,2121,673,23,0,15
06-07-2021,,Sudan,11424,720,5939,4765,39,3,49
07-07-2021,,Suriname,1483,24,925,534,44,1,35
08-07-2021,,Sweden,79395,5700,0,73695,398,3,0
09-07-2021,,Switzerland,34477,1978,30900,1599,65,1,200
10-07-2021,,Syria,674,40,0,634,24,2,0
11-07-2021,,Taiwan*,462,7,440,15,4,0,0
12-07-2021,,Tajikistan,7235,60,6028,1147,43,1,58
13-07-2021,,Tanzania,509,21,183,305,0,0,0
14-07-2021,,Thailand,3297,58,3111,128,6,0,2
15-07-2021,,Timor-Leste,24,0,0,24,0,0,0
16-07-2021,,Togo,874,18,607,249,6,0,8
17-07-2021,,Trinidad and Tobago,148,8,128,12,1,0,0
18-07-2021,,Tunisia,1455,50,1157,248,3,0,15
19-07-2021,,Turkey,227019,5630,210469,10920,919,17,982
20-07-2021,,US,4290259,148011,1325804,2816444,56336,1076,27941
21-07-2021,,Uganda,1128,2,986,140,13,0,4
22-07-2021,,Ukraine,67096,1636,37202,28258,835,11,317
23-07-2021,,United Arab Emirates,59177,345,52510,6322,264,1,328
24-07-2021,,United Kingdom,301708,45844,1437,254427,688,7,3
25-07-2021,,Uruguay,1202,35,951,216,10,1,3
26-07-2021,,Uzbekistan,21209,121,11674,9414,678,5,569
27-07-2021,,Venezuela,15988,146,9959,5883,525,4,213
28-07-2021,,Vietnam,431,0,365,66,11,0,0
29-07-2021,,West Bank and Gaza,10621,78,3752,6791,152,2,0
30-07-2021,,Western Sahara,10,1,8,1,0,0,0
31-07-2021,,Yemen,1691,483,833,375,10,4,36
01-08-2021,,Zambia,4552,140,2815,1597,71,1,465
02-08-2021,,Zimbabwe,2704,36,542,2126,192,2,24
